riddle,answer,hint
I have hands but no fingers. I move yet I don't walk.,clock,c__c_
I twinkle in the sky and shine so bright at night.,star,s___
You see me when you look in water but can't touch me.,reflection,r_______n
I go up but never come down. What am I?,age,a__
I’m full of keys but can’t open locks.,keyboard,k___o__d
I speak without a mouth and hear without ears. What am I?,echo,e__o
What has a head and a tail but no body?,coin,c__n
What gets wetter the more it dries?,towel,t___l
"The more you take, the more you leave behind.",footsteps,f_______s
I’m tall when I’m young and short when I’m old.,candle,c____e
I fly without wings. I cry without eyes. What am I?,cloud,c___d
I come down but never go up. What am I?,rain,r__n
What has words but never speaks?,book,b__k
What belongs to you but others use it more than you?,name,n__e
"The more you take, the bigger I become. What am I?",hole,h__e
What has a neck but no head?,bottle,b____e
I’m not alive but I grow. I don’t have lungs but I need air.,fire,f__e
I have one eye but can’t see.,needle,n____e
I run but never walk. I have a bed but never sleep.,river,r___r
What gets sharper the more you use it?,brain,b___n
I can fill a room but take up no space.,light,l___t
"What has four legs in the morning, two at noon, and three in the evening?",man,m__
"I have cities, but no houses. I have water, but no fish.",map,m__
You can catch me but can’t throw me.,cold,c__d
"I shave every day, but my beard stays the same. Who am I?",barber,b____r
"What comes once in a minute, twice in a moment, but never in a thousand years?",m,_
"The more you remove from me, the bigger I get.",hole,h__e
"People buy me to eat, but never eat me.",plate,p___e
What has one eye but can’t see anything at all?,needle,n____e
"If you drop me I’m sure to crack, but give me a smile and I’ll smile back.",mirror,m____
