Question,Option1,Option2,Option3,Option4,Answer
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
What protects Earth from solar winds?,Ozone Layer,Clouds,Magnetosphere,Atmosphere,Magnetosphere
What protects Earth from solar winds?,Clouds,Ozone Layer,Atmosphere,Magnetosphere,Magnetosphere
What is the smallest country?,Monaco,Vatican City,Nauru,Tuvalu,Vatican City
Where is Mount Everest located?,Nepal,India,China,Bhutan,Nepal
What is the capital of Australia?,Sydney,Brisbane,Melbourne,Canberra,Canberra
Where is Mount Everest located?,India,China,Bhutan,Nepal,Nepal
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Jupiter
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet is known as the Red Planet?,Mars,Mercury,Jupiter,Venus,Mars
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,Mars
Which country has the most islands?,Finland,Philippines,Indonesia,Sweden,Sweden
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which is the hottest planet in the solar system?,Mercury,Mars,Venus,Neptune,Venus
Which planet has the most moons?,Saturn,Earth,Jupiter,Mars,Saturn
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which planet is known as the Red Planet?,Mercury,Venus,Jupiter,Mars,Mars
Which is the largest ocean?,Indian,Atlantic,Arctic,Pacific,Pacific
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
Which continent has the most countries?,Asia,Africa,Europe,South America,Africa
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
Which galaxy do we live in?,Andromeda,Whirlpool,Sombrero,Milky Way,Milky Way
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which planet is known as the Red Planet?,Jupiter,Venus,Mercury,Mars,Mars
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
